Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_010416905.1	CU_Pdor_10			Polistes dorsalis
GCA_023678865.1	ASM2367886v1	Annotation submitted by Cornell University	2022-06-08	Polistes exclamans
GCF_010416935.1	CU_Pfus_HIC	NCBI Polistes fuscatus Annotation Release 100	2021-09-09	Polistes fuscatus
GCA_010416925.1	CU_Pmet_PB			Polistes metricus
GCA_943735925.1	idPolAmen1.1			Pollenia amentaria
GCA_930367215.1	idPolAngu1.1			Pollenia angustigena
GCA_963931875.1	idPolGris2.1			Pollenia griseotomentosa
GCA_949318255.1	idPolLabi1.1			Pollenia labialis
GCA_018247175.1	SRR7174562			Polyctor polyctor
GCA_935413205.1	icPolCerv1.1			Polydrusus cervinus
GCA_963969555.1	icPolPter2.1			Polydrusus pterygomalis
GCA_963920685.1	icPolTere2.1			Polydrusus tereticollis
GCA_030449975.1	iyPolMexi1.0			Polyergus mexicanus
GCA_018250455.1	SRR7174527			Polygonus leo
GCA_018250515.1	SRR7174526			Polygonus savigny
GCA_038024825.1	ASM3802482v1			Polylopha cassiicola
GCA_949987655.1	ilPolFlav1.1			Polymixis flavicincta
GCA_949091785.1	ilPolLich1.1			Polymixis lichenea
GCA_937595015.1	ilPolIcar1.1			Polyommatus icarus
GCA_963422495.1	ilPolIphe1.1			Polyommatus iphigenia
GCA_014622435.1	KFU_Ppem_1.0			Polypedilum pembai
GCA_018290095.1	Pv_5.2	Annotation submitted by National Agriculture and Food Research Organization	2021-05-13	Polypedilum vanderplanki
GCA_037055365.1	N_lineage_1.0	Annotation submitted by Faculty of Science, University of South Bohemia	2024-03-07	Polyplax serrata
GCA_951394255.1	ilPolRide1.1			Polyploca ridens
GCA_963693355.1	Pontia daplidice genome assembly			Pontia daplidice
GCA_040143775.1	PoJapo1.0	Dept. of Life Sciences - University of Siena Release 1.00	2022-12-27	Popillia japonica
GCA_026546635.1	ASM2654663v1			Porricondyla nigripennis
GCA_949715645.1	idPorMacu1.1			Portevinia maculata
GCA_018250815.1	SRR7174504			Potamanaxas melicertes
GCA_018252075.1	SRR7174345			Potamanaxas unifasciata
GCA_030444845.1	iyPreIma1.0			Prenolepis imparis
GCA_963942575.1	iyPriPert1.1			Priocnemis perturbator
GCA_022817065.1	ASM2281706v1			Probaryconus sp. ZL-2020
GCA_001932985.1	200kmer_750.trimmed			Proctacanthus coquilletti
GCA_913698485.1	Pfluc4			Proechinophthirus fluctus
GCA_018397935.1	ASM1839793v1			Propsilocerus akamusi
GCA_013421045.1	ASM1342104v1			Propylea japonica
GCA_024137725.1	Cenicafe_Pnas_1.1			Prorops nasuta
GCA_036971475.1	USDA_Prosapia_bicincta_1.0			Prosapia bicincta
GCA_036172665.1	ASM3617266v1			Prosopocoilus inquinatus
GCA_004143645.1	ASM414364v1			Protaetia brevitarsis
GCA_018248415.1	SRR7174547			Proteides mercurius
GCA_018246735.1	SRR9330703			Protelbella alburna alburna
GCA_018245795.1	SRR9330704			Protelbella ruficauda
GCA_018248075.1	SRR8954534			Protesilaus protesilaus protesilaus
GCA_932274085.1	idProAzur1.1			Protocalliphora azurea
GCA_936450705.2	ilProPyga1.2			Protodeltote pygarga
GCA_018247955.1	SRR8954537			Protographium marcellus marcellus
GCA_947568835.1	ipProMont4.1			Protonemura montana
GCA_951394005.1	idProTerr1.1			Protophormia terraenovae
GCA_022817105.1	ASM2281710v1			Pseudanteris insignis
GCA_963920635.1	icEneSepi1.1			Pseudeuparius sepicola
GCA_017607525.1	ASM1760752v1	Annotation submitted by BGI	2021-03-29	Pseudoatta argentina
GCA_038380155.1	ASM3838015v1			Pseudococcus jackbeardsleyi
GCA_900064475.1	PLON			Pseudococcus longispinus
GCA_033439095.1	ASM3343909v1			Pseudococcus viburni
GCA_018247055.1	SRR9330412			Pseudocoladenia festa
GCA_018250135.1	SRR7174341			Pseudodrephalys atinas
GCA_951640165.1	ilPsePras1.1			Pseudoips prasinana
GCA_029228625.1	FCFRP_Bhyg_1.0	Annotation submitted by University of Sao Paulo	2023-03-20	Pseudolycoriella hygida
GCA_913698435.1	Pante1			Pseudomimeciton antennatum
GCA_014839585.1	ASM1483958v1			Pseudomyrmex concolor
GCA_014825685.1	ASM1482568v1			Pseudomyrmex cubaensis
GCA_014825645.1	ASM1482564v1			Pseudomyrmex dendroicus
GCA_014825475.1	ASM1482547v1			Pseudomyrmex flavicornis
GCF_002006095.1	ASM200609v1	NCBI Pseudomyrmex gracilis Annotation Release 100	2017-03-02	Pseudomyrmex gracilis
GCA_014825455.1	ASM1482545v1			Pseudomyrmex pallidus
GCA_014825495.1	ASM1482549v1			Pseudomyrmex sp. PSW-54
GCA_018251095.1	SRR7174454			Pseudonascus paulliniae
GCA_018248215.1	SRR7174544			Pseudosarbia flavofasciata
GCA_022817085.1	ASM2281708v1			Psilanteris sp. ZL-2020
GCA_022817045.1	ASM2281704v1			Psix sp. ZL-2020
GCA_963971405.1	iuPsoGibb1.1			Psococerastis gibbosa
GCA_927349885.1	PGI_PSYICH_v2	Annotation submitted by ROTHAMSTED RESEARCH	2022-06-27	Psylliodes chrysocephala
GCA_030522845.1	LBBE_Pconcolor_V1			Psyttalia concolor
GCA_030522865.1	LBBE_Plounsbury_V1			Psyttalia lounsburyi
GCA_012977825.3	ZJU_Ppup_chr_2.0			Pteromalus puparum
GCA_911728475.2	icPteMadi1.2			Pterostichus madidus
GCA_947425015.1	icPteNige1.1			Pterostichus niger
GCA_914767695.1	ilPtiCapc1.1			Ptilodon capucinus
GCA_961205885.1	idPtyAlbi3.1			Ptychoptera albimana
GCA_963942525.1	idPtyCont2.1			Ptychoptera contaminata
GCA_963924575.1	icPycFuli2.1			Pycnomerus fuliginosus
GCA_947507595.1	ilPyrFari1.1			Pyralis farinalis
GCA_963584085.1	ilPyrAura1.1			Pyrausta aurata
GCA_963921415.1	ilPyrDesp2.1			Pyrausta despicata
GCA_949316185.1	ilPyrNigr1.1			Pyrausta nigrata
GCA_963924145.1	ilPyrPurp2.1			Pyrausta purpuralis
GCA_911387765.1	ilPyrMalv3.1			Pyrgus malvae
GCA_905333025.2	icPyrSerr1.2			Pyrochroa serraticornis
GCA_036250285.1	FXH_PpeL_2.0	Annotation submitted by Huazhong Agricultural University	2024-01-31	Pyrocoelia pectoralis
GCA_963891755.1	ilPyrUmbr1.1			Pyrrhia umbra
GCA_039877355.1	ASM3987735v1			Pyrrhocoris apterus
GCA_018239265.1	SRR9330755			Pyrrhopyge amythaon peron
GCA_018239245.1	SRR9330761			Pyrrhopyge aziza lexos
GCA_018245055.1	SRR9330664			Pyrrhopyge creona
GCA_018245695.1	SRR9330713			Pyrrhopyge cressoni
GCA_018247035.1	SRR9330660			Pyrrhopyge crida
GCA_018247275.1	SRR9330711			Pyrrhopyge evansi evansi
GCA_018245515.1	SRR9330739			Pyrrhopyge guianae
GCA_018251255.1	SRR7174436			Pyrrhopyge hadassa
GCA_018245135.1	SRR9330667			Pyrrhopyge haemon
GCA_018239605.1	SRR9330741			Pyrrhopyge kelita
GCA_018239385.1	SRR9330747			Pyrrhopyge melanomerus
GCA_018239585.1	SRR9330740			Pyrrhopyge papius papius
GCA_018246515.1	SRR9330738			Pyrrhopyge pelota
GCA_018246655.1	SRR9330709			Pyrrhopyge phidias phidias
GCA_018246695.1	SRR9330708			Pyrrhopyge proculus lina
GCA_018245235.1	SRR9330388			Pyrrhopyge sadia
GCA_018245915.1	SRR9330666			Pyrrhopyge schausi
GCA_018239525.1	SRR9330744			Pyrrhopyge sergius sergius
GCA_018246915.1	SRR9330661			Pyrrhopyge tatei
GCA_018245995.1	SRR9330665			Pyrrhopyge telassa croceimargo
GCA_018239205.1	SRR9330757			Pyrrhopyge thericles rileyi
GCA_018245775.1	SRR9330712			Pyrrhopyge zenodorus
GCA_022318265.1	SRR7174427			Pyrrhopygopsis socrates
GCA_963573305.1	ioPyrNymp1.1			Pyrrhosoma nymphula
GCA_018252455.1	SRR7174336			Pythonides amaryllis
GCA_033557875.1	ASM3355787v1			Quadriops clusia
GCA_018252155.1	SRR7174343			Quadrus cerialis
GCA_018249195.1	SRR7174403			Racta chiria
GCA_029041755.1	Resmax_1			Resseliella maxima
GCA_026260175.1	UNIBO_RLUCI_2021			Reticulitermes lucifugus
GCA_021186555.1	TAMU-RSper-2021			Reticulitermes speratus
GCA_963680705.1	icRhaMord1.1			Rhagium mordax
GCA_029783565.1	ASM2978356v1			Rhagoletis cerasi
GCF_013731165.1	Rhpom_1.0	NCBI Rhagoletis pomonella Annotation Release 100	2020-10-02	Rhagoletis pomonella
GCF_001687245.2	Rhagoletis_zephyria_1.1	NCBI Rhagoletis zephyria Annotation Release 100	2016-07-29	Rhagoletis zephyria
GCA_905340355.1	icRhaFulv1.1			Rhagonycha fulva
GCA_958510855.1	icRhaLute1.1			Rhagonycha lutea
GCA_036326145.1	kiz_Sta_v1			Rhagophthalmus giganteus
GCA_029963845.1	MPICE_RBIC_1	Annotation submitted by Max Planck Institute for Chemical Ecology	2023-05-10	Rhamnusium bicolor
GCA_963920725.1	idRhaLaev1.1			Rhamphomyia laevipes
GCA_948150685.1	ihRhaNebu1.1			Rhaphigaster nebulosa
GCA_963989365.1	iyRhiMega2.1			Rhimphoctona megacephalus
GCA_932526625.1	idRhiCamp1.1			Rhingia campestris
GCA_949824845.1	idRhiRost1.1			Rhingia rostrata
GCA_011762765.2	ASM1176276v2			Rhinocypha anisoptera
GCA_000181055.3	Rhodnius_prolixus-3.0.3			Rhodnius prolixus
GCA_963082605.1	ilRhoForm1.1			Rhodophaea formosa
GCA_944452935.1	iyRhoChlo1.1			Rhogogaster chlorosoma
GCF_003676215.2	ASM367621v3	NCBI Rhopalosiphum maidis Annotation Release 101	2019-02-14	Rhopalosiphum maidis
GCA_036289425.1	JGU_Rn_01			Rhopalosiphum nymphaeae
GCF_020882245.1	ASM2088224v1	GCF_020882245.1-RS_2023_11	2023-11-09	Rhopalosiphum padi
GCA_963564615.1	iyRhoExst1.1			Rhorus exstirpatorius
GCA_022495005.1	ASM2249500v1			Rhyacophila brunnea
GCA_022683975.1	ASM2268397v1			Rhyacophila evoluta
GCA_036584705.1	ASM3658470v1			Rhyacophila sp. 25_7
GCA_036584685.1	ASM3658468v1			Rhyacophila sp. Rhy_31_5
GCA_030347505.1	kcgeb_rfM			Rhynchophorus ferrugineus
GCA_040020575.1	Rfu_1.0	Annotation submitted by China Agricultural University	2024-06-03	Rhynocoris fuscipes
GCA_025024175.1	Rdo_ARS_Dec2018	Annotation submitted by USDA ARS Center for Grain and Animal Health Research	2022-09-07	Rhyzopertha dominica
GCA_027475445.1	ASM2747544v1			Ricinus arcuatus
GCA_028565995.1	ASM2856599v1			Ricinus marginatus
GCA_018251215.1	SRR7174441			Ridens mephitis
GCA_019009955.1	ASM1900995v1			Riptortus pedestris
GCA_037954035.1	Rfune_1.0			Rosalia funebris
GCA_936432065.2	icLepMacu1.2			Rutpela maculata
GCF_943734655.1	idSabCyanKW18_F2	GCF_943734655.1-RS_2023_02	2023-02-24	Sabethes cyaneus
GCA_964059465.1	ilSabHarp2.1			Sabra harpagula
GCA_018251595.1	SRR7174376			Salantoia eriopis
GCA_018249535.1	SRR7174377			Salatis canalis
GCA_949788335.1	icSalPlan1.1			Salpingus planirostris
GCA_014132275.2	Sr_NBRP_v2.0			Samia ricini
GCA_018246035.1	SRR9330411			Sarangesa brigida
GCA_005959815.1	ROC_SBull_1.0	Annotation submitted by University of Rochester	2019-06-04	Sarcophaga bullata
GCA_927399465.1	idSarCaer1.1			Sarcophaga caerulescens
GCA_958299815.1	idSarCarn1.1			Sarcophaga carnaria
GCA_014635995.1	ASM1463599v1			Sarcophaga peregrina
GCA_930367235.1	idSarRose1.1			Sarcophaga rosellei
GCA_936449025.2	idSarSubv1.2			Sarcophaga subvicina
GCA_932273835.1	idSarVari1.1			Sarcophaga variegata
GCA_001047195.1	ASM104719v1			Sarcophagidae sp. BV-2014
GCA_018251675.1	SRR7174375			Sarmientola browni
GCA_032191635.1	ASM3219163v1			Sarophorus costatus
GCA_018237485.1	SRR10158577			Sarota myrtea
GCA_018247495.1	SRR9330383			Satarupa nymphalis
GCA_033032175.1	GZU_Cjap_1.1			Saturnia japonica
GCA_947532125.1	ilSatPavo1.1			Saturnia pavonia
GCA_905146935.1	idScaPyra1.1			Scaeva pyrastri
GCA_037075145.1	ASM3707514v1			Scaptodrosophila latifasciaeformis
GCF_003285725.1	SlebRS2	NCBI Scaptodrosophila lebanonensis Annotation Release 100	2019-08-19	Scaptodrosophila lebanonensis
GCA_035078625.1	ASM3507862v1			Scaptodrosophila scaptomyzoidea
GCA_035044725.1	ASM3504472v1			Scaptomyza caliginosa
GCA_035044605.1	ASM3504460v1			Scaptomyza cyrtandrae
GCA_030179655.1	sfla_v2			Scaptomyza flava
GCA_018901835.1	ASM1890183v1			Scaptomyza graminum
GCA_018152825.1	ASM1815282v1			Scaptomyza hsui
GCA_018904305.1	ASM1890430v1			Scaptomyza montana
GCA_018152965.1	ASM1815296v1			Scaptomyza pallida
GCA_035044645.1	ASM3504464v1			Scaptomyza parva
GCA_035044585.1	ASM3504458v1			Scaptomyza polygonia
