Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_963574335.1	PGDP_HylKlo			Hylobates klossii
GCF_009828535.3	HMol_V3	GCF_009828535.3-RS_2023_07	2023-07-21	Hylobates moloch
GCA_963573745.1	PGDP_HylMue			Hylobates muelleri
GCA_021498465.1	ASM2149846v1			Hylobates pileatus
GCA_019843855.1	ASM1984385v1			Hylomyscus alleni
GCA_949752795.1	mHypAmp2.1			Hyperoodon ampullatus
GCA_016801275.1	DSBC_Hbra_1.0			Hystrix brachyura
GCA_004026905.1	HysCri_v1_BIUU			Hystrix cristata
GCA_025583905.1	NENU_Iio_1.0			Ia io
GCF_016881025.1	HiC_Itri_2	NCBI Ictidomys tridecemlineatus Annotation Release 103	2021-03-15	Ictidomys tridecemlineatus
GCA_004363605.1	IndInd_v1_BIUU			Indri indri
GCA_036417435.1	mIniGeo1.hap1			Inia geoffrensis
GCF_020740685.1	mJacJac1.mat.Y.cur	NCBI Jaculus jaculus Annotation Release 102	2021-11-09	Jaculus jaculus
GCA_006410655.1	DFW			Kobus ellipsiprymnus
GCA_014926565.1	Klec_v1.0			Kobus leche leche
GCF_026419965.1	mKogBre1 haplotype 1	GCF_026419965.1-RS_2023_08	2023-08-18	Kogia breviceps
GCF_949774975.1	mLagAlb1.1	GCF_949774975.1-RS_2023_10	2023-10-05	Lagenorhynchus albirostris
GCF_003676395.1	ASM367639v1	NCBI Lagenorhynchus obliquidens Annotation Release 100	2018-11-13	Lagenorhynchus obliquidens
GCA_028533205.1	Lagorchestes_hirsutus_HiC			Lagorchestes hirsutus
GCA_963574225.1	PGDP_LagLag			Lagothrix lagotricha
GCA_013239585.1	ASM1323958v1			Lama glama chaku
GCA_013239625.1	ASM1323962v1			Lama guanicoe cacsilensis
GCA_004026805.1	LasBor_v1_BIUU			Lasiurus borealis
GCF_020740605.2	mLemCat1.pri	NCBI Lemur catta Annotation Release 100	2021-12-08	Lemur catta
GCA_963575285.1	PGDP_LeoFus			Leontocebus fuscicollis
GCA_963575265.1	PGDP_LeoNig			Leontocebus nigricollis
GCA_963574395.1	PGDP_LeoChr			Leontopithecus chrysomelas
GCA_028533165.1	Leontopithecus_rosalia_HiC			Leontopithecus rosalia
GCF_018350155.1	O.geoffroyi_Oge1_pat1.0	NCBI Leopardus geoffroyi Annotation Release 100	2021-12-07	Leopardus geoffroyi
