Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_013399135.1	ASM1339913v1	Annotation submitted by B10K Consortium	2020-07-10	Heliornis fulica
GCA_009690805.1	HemiWil1.0			Hemignathus wilsoni
GCA_020745705.1	bHemCom1.pri.cur			Hemiprocne comata
GCA_025310935.1	ASM2531093v1			Henicopernis longicauda
GCA_013399355.1	ASM1339935v1	Annotation submitted by B10K Consortium	2020-07-10	Herpetotheres cachinnans
GCA_011075105.1	BPBGC_Hatr_1.0			Heteronetta atricapilla
GCA_025802315.1	ASM2580231v1			Hieraaetus ayresii
GCA_027475465.1	ASM2747546v1			Hieraaetus morphnoides
GCA_025727975.1	ASM2572797v1			Hieraaetus pennatus
GCA_035590315.1	ASM3559031v1			Hieraaetus wahlbergi
GCA_003993805.1	UO_Hhiman_2.0			Himantopus leucocephalus
GCA_013400075.1	ASM1340007v1	Annotation submitted by B10K Consortium	2020-07-10	Hippolais icterina
GCF_015227805.2	bHirRus1.pri.v3	GCF_015227805.2-RS_2023_07	2023-07-19	Hirundo rustica
GCA_013401035.1	ASM1340103v1	Annotation submitted by B10K Consortium	2020-07-10	Horornis vulcanius
GCA_013397195.1	ASM1339719v1	Annotation submitted by B10K Consortium	2020-07-10	Hylia prasina
GCA_013400635.1	ASM1340063v1	Annotation submitted by B10K Consortium	2020-07-10	Hypocryptadius cinnamomeus
GCA_027925045.1	Gokinawae_1.0			Hypotaenidia okinawae
GCA_035594005.1	ASM3559400v1			Hypotaenidia philippensis
GCA_013398815.1	ASM1339881v1	Annotation submitted by B10K Consortium	2020-07-10	Ibidorhyncha struthersii
GCA_035590275.1	ASM3559027v1			Ibycter americanus
GCA_027564695.1	ASM2756469v1			Ictinia mississippiensis
GCA_013398055.1	ASM1339805v1	Annotation submitted by B10K Consortium	2020-07-10	Ifrita kowaldi
GCA_013399915.1	ASM1339991v1	Annotation submitted by B10K Consortium	2020-07-10	Illadopsis cleaveri
GCF_027791375.1	UM_Iind_1.1	GCF_027791375.1-RS_2023_03	2023-03-15	Indicator indicator
GCA_013399975.1	ASM1339997v1	Annotation submitted by B10K Consortium	2020-07-10	Indicator maculatus
GCA_013397155.1	ASM1339715v1	Annotation submitted by B10K Consortium	2020-07-10	Irena cyanogastra
GCA_027559835.1	ASM2755983v1			Ispidina lecontei
GCA_033439845.1	ASM3343984v1			Ispidina picta
GCA_013400555.1	ASM1340055v1	Annotation submitted by B10K Consortium	2020-07-10	Jacana jacana
GCA_003829775.2	dark-eyed_junco_22Sep2020_assembly			Junco hyemalis
GCF_019238085.1	USGS_WTPT01	NCBI Lagopus leucura Annotation Release 100	2021-08-05	Lagopus leucura
GCF_023343835.1	bLagMut1 primary	NCBI Lagopus muta Annotation Release 100	2022-07-05	Lagopus muta
GCA_015883425.2	CU_Lasu_v2	Annotation submitted by Columbia University	2022-03-24	Lamprotornis superbus
GCA_020086605.1	ASM2008660v1			Lanius collurio
GCA_013397235.1	ASM1339723v1	Annotation submitted by B10K Consortium	2020-07-10	Lanius ludovicianus
GCA_028571125.1	ASM2857112v1			Larus argentatus
GCA_963932225.1	bLarFus1.1			Larus fuscus
GCA_013400295.1	ASM1340029v1	Annotation submitted by B10K Consortium	2020-07-10	Larus smithsonianus
GCA_022605575.1	bLatJam1.0.p			Laterallus jamaicensis coturniculus
GCA_037157625.1	bLatDis1.hap2			Lathamus discolor
GCA_013400445.1	ASM1340044v1	Annotation submitted by B10K Consortium	2020-07-10	Leiothrix lutea
GCA_035584035.1	ASM3558403v1			Lepidocolaptes lacrymiger
GCF_001604755.1	Lepidothrix_coronata-1.0	NCBI Lepidothrix coronata Annotation Release 100	2016-08-09	Lepidothrix coronata
GCA_013399835.1	ASM1339983v1	Annotation submitted by B10K Consortium	2020-07-10	Leptocoma aspasia
GCA_027564655.1	ASM2756465v1			Leptodon cayanensis
GCF_000691785.1	ASM69178v1	NCBI Leptosomus discolor Annotation Release 100	2014-10-27	Leptosomus discolor
GCA_014363365.1	L_rothschildi_scaffold_01			Leucopsar rothschildi
GCA_026212995.1	ASM2621299v1			Leucopternis kuhli
GCA_026213055.1	ASM2621305v1			Leucopternis melanops
GCA_025504685.1	ASM2550468v1			Leucosticte australis
GCA_008360975.2	HeHo_2.0			Lichenostomus cassidix
GCA_028565335.1	ASM2856533v1			Limnodromus scolopaceus
GCA_002844005.1	Godwit_v1	Annotation submitted by Universidade Federal do Rio de Janeiro	2017-12-20	Limosa lapponica baueri
GCA_036026075.1	ASM3602607v1			Linurgus olivaceus
GCA_013400155.1	ASM1340015v1	Annotation submitted by B10K Consortium	2020-07-10	Locustella ochotensis
GCF_005870125.1	lonStrDom2	NCBI Lonchura striata domestica Annotation Release 101	2019-11-01	Lonchura striata domestica
GCA_034782555.1	ASM3478255v1			Lophaetus occipitalis
GCA_010015045.2	ASM1001504v2			Lophochroa leadbeateri
GCA_032165235.1	ASM3216523v1			Lophonetta specularioides
GCA_013396455.1	ASM1339645v1	Annotation submitted by B10K Consortium	2020-07-10	Lophotis ruficrista
GCA_035583135.1	ASM3558313v1			Lophotriccus pileatus
GCA_021292215.1	ASM2129221v1			Lophura nycthemera
GCA_030408155.1	ASM3040815v1			Lophura swinhoii
GCA_039877255.1	ASM3987725v1			Loriculus beryllinus
GCA_025629885.1	ASM2562988v1			Lorius chlorocercus
GCA_010014925.2	ASM1001492v2			Lorius garrulus
GCA_025629905.1	ASM2562990v1			Lorius lory
GCA_013398455.1	ASM1339845v1	Annotation submitted by B10K Consortium	2020-07-10	Loxia curvirostra
GCA_035046945.1	ASM3504694v1			Loxia leucoptera
GCA_034779935.1	ASM3477993v1			Loxia pytyopsittacus
GCA_034336685.1	ASM3433668v1			Luscinia luscinia
GCA_034336665.1	ASM3433666v1			Luscinia megarhynchos
GCA_014706295.1	ASM1470629v1			Lycocorax pyrrhopterus obiensis
GCA_000586395.1	tetTet1			Lyrurus tetrix tetrix
GCA_013397975.1	ASM1339797v1	Annotation submitted by B10K Consortium	2020-07-10	Machaerirhynchus nigripectus
GCA_025727915.1	ASM2572791v1			Macheiramphus alcinus
GCA_025434525.1	Mal_alb_V1.0			Malurus alboscapulatus
GCA_009741485.1	mCya_1.0			Malurus cyaneus samueli
GCA_013397995.1	ASM1339799v1	Annotation submitted by B10K Consortium	2020-07-10	Malurus elegans
GCA_037014315.1	ASM3701431v1			Malurus leucopterus
GCF_030028575.1	MMel_1.1	GCF_030028575.1-RS_2023_06	2023-06-07	Malurus melanocephalus
GCA_037014365.1	ASM3701436v1			Malurus splendens
GCF_025592945.1	ASM2559294v1	GCF_025592945.1-RS_2023_02	2023-02-25	Manacus candei
GCF_001715985.3	ASM171598v3	NCBI Manacus vitellinus Annotation Release 103	2019-07-17	Manacus vitellinus
GCA_035588595.1	ASM3558859v1			Mareca americana
GCA_038382085.1	ASM3838208v1			Mareca falcata
GCA_036026335.1	ASM3602633v1			Mareca penelope
GCA_034783215.1	ASM3478321v1			Mareca sibilatrix
GCA_035583915.1	ASM3558391v1			Mareca strepera
GCA_035222235.1	ASM3522223v1			Margarornis squamiger
GCA_028565255.1	ASM2856525v1			Megaceryle alcyon
GCA_024605025.1	ASM2460502v1			Megaceryle maxima
GCA_024611175.1	ASM2461117v1			Megaceryle torquata
GCA_010078485.1	BGI_Mant.V1	Annotation submitted by BGI-Shenzhen	2020-01-31	Megadyptes antipodes antipodes
GCA_025727835.1	ASM2572783v1			Megatriorchis doriae
GCA_011125475.1	OU_Melaur_1			Melanerpes aurifrons
GCA_026170545.1	bMelFor1.0.p			Melanerpes formicivorus
GCA_029620185.1	ASM2962018v1			Melanitta fusca
GCA_013397845.1	ASM1339784v1	Annotation submitted by B10K Consortium	2020-07-10	Melanocharis versteri
GCF_000146605.3	Turkey_5.1	NCBI Meleagris gallopavo Annotation Release 103	2019-11-07	Meleagris gallopavo
GCA_025309315.1	ASM2530931v1			Melierax canorus
GCA_025727895.1	ASM2572789v1			Melierax metabates
GCA_027475505.1	ASM2747550v1			Melierax poliopterus
GCF_012275295.1	bMelUnd1.mat.Z	NCBI Melopsittacus undulatus Annotation Release 104	2020-04-30	Melopsittacus undulatus
GCF_028018845.1	bMelGeo1.pri	GCF_028018845.1-RS_2023_07	2023-07-03	Melospiza georgiana
GCF_035770615.1	bMelMel2.pri	GCF_035770615.1-RS_2024_02	2024-02-16	Melospiza melodia melodia
GCF_028551555.1	PUWL_Pcris_2	GCF_028551555.1-RS_2023_03	2023-03-14	Melozone crissalis
GCA_013396355.1	ASM1339635v1	Annotation submitted by B10K Consortium	2020-07-10	Menura novaehollandiae
GCA_036873955.1	bMerOct1.hap1			Mergus octosetaceus
GCF_000691845.1	ASM69184v1	NCBI Merops nubicus Annotation Release 100	2014-08-29	Merops nubicus
GCA_025762695.1	ASM2576269v1			Merops pusillus
GCA_013399675.1	ASM1339967v1	Annotation submitted by B10K Consortium	2020-07-10	Mesembrinibis cayennensis
GCF_000695765.1	ASM69576v1	NCBI Mesitornis unicolor Annotation Release 100	2014-11-03	Mesitornis unicolor
GCA_034780635.1	ASM3478063v1			Micrastur mirandollei
GCA_034782655.1	ASM3478265v1			Micrastur ruficollis
GCA_035590215.1	ASM3559021v1			Microhierax caerulescens
GCA_035590455.1	ASM3559045v1			Microhierax latifrons
GCA_025448115.1	ASM2544811v1			Micronisus gabar
GCA_035593285.1	ASM3559328v1			Micropsitta bruijnii
GCA_034783455.1	ASM3478345v1			Micropsitta finschii
GCA_032353615.1	ASM3235361v1			Micropsitta geelvinkiana
GCA_034782935.1	ASM3478293v1			Micropsitta keiensis
