Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_015112415.1	LJC8.scf			Trematocara caparti
GCA_015104355.1	IUD9.scf			Trematocara macrostoma
GCA_015104795.1	ISA3.scf			Trematocara marginatum
GCA_015104335.1	IUE5.scf			Trematocara nigrifrons
GCA_015107995.1	IZE1.scf			Trematocara stigmaticum
GCA_015106295.1	IXA6.scf			Trematocara unimaculatum
GCA_015103455.1	Bel33.scf			Trematocara variabile
GCA_015110815.1	LFE4.scf			Trematocara zebra
GCA_015103355.1	DMD1.scf			Trematochromis benthicola
GCF_902827165.1	fTreBer1.1	NCBI Trematomus bernacchii Annotation Release 100	2020-05-01	Trematomus bernacchii
GCA_943593355.1	fTreHan1			Trematomus hansoni
GCA_012861695.1	KUTl01			Trematomus loennbergii
GCA_943590805.1	fTreSco1			Trematomus scotti
GCF_030014385.1	fTriRos1.hap1	GCF_030014385.1-RS_2024_02	2024-02-08	Trichomycterus rosablanca
GCA_038048895.1	ASM3804889v1			Tricuspidalestes caeruleus
GCA_015107115.1	JEG5.scf			Triglachromis otostigma
GCA_016785345.1	ASM1678534v1			Trinectes maculatus
GCA_029783895.1	ASM2978389v1			Triplophysa bombifrons
GCF_015846415.1	ASM1584641v1	GCF_015846415.1-RS_2023_06	2023-06-01	Triplophysa dalaica
GCF_024868665.1	Trosa_1v2	GCF_024868665.1-RS_2023_06	2023-06-09	Triplophysa rosa
GCA_006030095.1	ASM603009v1			Triplophysa siluroides
GCA_008369825.1	ASM836982v1	Annotation submitted by Gooalgene	2019-09-12	Triplophysa tibetana
GCA_033220385.1	ASM3322038v1			Triplophysa yarkandensis
GCA_027123545.1	ASM2712354v1			Trisopterus esmarkii
GCA_027122455.1	ASM2712245v1			Trisopterus luscus
GCA_027122715.1	ASM2712271v1			Trisopterus minutus
GCA_025674515.1	ASM2567451v1			Trogloglanis pattersoni
GCA_015106575.1	JWG4.scf			Tropheus annectens
GCA_015110215.1	JYI8.scf			Tropheus brichardi
GCA_015109155.1	KHA5.scf			Tropheus duboisi
GCA_902810505.1	TMv1.0			Tropheus moorii
GCA_015111015.1	LEF8.scf			Tropheus polli
GCA_015052705.1	JVC3.scf			Tropheus sp. 'black'
GCA_015110695.1	LGA5.scf			Tropheus sp. 'brichardi kipili' AB-2019
GCA_015111495.1	LCF1.scf			Tropheus sp. 'Kirschfleck'
GCA_015109315.1	KEF2.scf			Tropheus sp. 'lukuga' AB-2019
GCA_015109455.1	KED6.scf			Tropheus sp. 'lunatus' AB-2019
GCA_015111195.1	LDI5.scf			Tropheus sp. 'mpimbwe' AB-2019
GCA_015113295.1	LHD9.scf			Tropheus sp. 'murago' AB-2019
GCA_015105585.1	IOD9.scf			Tropheus sp. 'red' AB-2019
GCA_015107715.1	JAG2.scf			Tylochromis polylepis
GCA_027564635.1	ASM2756463v1			Typhlichthys eigenmanni
GCA_027564835.1	ASM2756483v1			Typhlichthys subterraneus
GCA_016801145.1	ASM1680114v1			Umbra pygmaea
GCA_027122555.1	ASM2712255v1			Urophycis chuss
GCA_027123175.1	ASM2712317v1			Urophycis cirrata
GCA_027123135.1	ASM2712313v1			Urophycis floridana
GCA_027123015.1	ASM2712301v1			Urophycis regia
GCA_036785325.1	fUroTen1_p1.0			Urophycis tenuis
GCA_963556495.2	fValHis1.1_MT			Valencia hispanica
GCA_015102225.1	AUC3.scf			Variabilichromis moorii
GCA_026259375.1	ASM2625937v1			Verasper variegatus
GCA_022828995.1	ASM2282899v1			Vimba vimba
GCA_943590875.1	fVomInf1			Vomeridens infuscipinnis
GCA_014839995.1	fXenCan1.pri			Xenentodon cancila
GCA_015107655.1	JAH7.scf			Xenochromis hecqui
GCA_040091335.1	XC_V1.0	Annotation submitted by University of St Andrews	2024-06-07	Xenoophorus captivus
GCA_040091345.1	Xenotaenia_resolanae_V1.0	Annotation submitted by University of St Andrews	2024-06-07	Xenotaenia resolanae
GCA_015104175.1	IVB4.scf			Xenotilapia bathyphilus
GCA_015105375.1	IPE7.scf			Xenotilapia boulengeri
GCA_015106215.1	IXC1.scf			Xenotilapia caudafasciata
GCA_015105975.1	JAF7.scf			Xenotilapia flavipinnis
GCA_015105755.1	INF1.scf			Xenotilapia leptura
GCA_015109775.1	KAF6.scf			Xenotilapia longispinis
GCA_015102635.1	IMF8.scf			Xenotilapia nasus
GCA_015106095.1	IXF4.scf			Xenotilapia nigrolabiata
GCA_015106855.1	JVH4.scf			Xenotilapia ochrogenys
GCA_015110015.1	JZE6.scf			Xenotilapia ornatipinnis
GCA_015106585.1	IVF4.scf			Xenotilapia papilio
GCA_015105935.1	JBE7.scf			Xenotilapia rotundiventralis
GCA_015102085.1	IUF7.scf			Xenotilapia sima
GCA_015104975.1	IRD9.scf			Xenotilapia singularis
GCA_015103635.1	Bel01.scf			Xenotilapia sp. 'kilesa' AB-2019
GCA_015103175.1	GPF9.scf			Xenotilapia sp. 'papilio sunflower'
GCA_015111115.1	LEA3.scf			Xenotilapia sp. 'spilopterus north' AB-2019
GCA_015103795.1	AXB5.scf			Xenotilapia spiloptera
GCA_015118035.1	LHG6.scf			Xenotilapia tenuidentata
GCF_016859285.1	ASM1685928v1	NCBI Xiphias gladius Annotation Release 100	2021-03-15	Xiphias gladius
GCA_036418095.1	xbir-COAC-16-VIII-22-M_v2023.1			Xiphophorus birchmanni
GCF_001444195.1	X_couchianus-1.0	NCBI Xiphophorus couchianus Annotation Release 101	2019-01-28	Xiphophorus couchianus
GCF_003331165.1	Xiphophorus_hellerii-4.1	NCBI Xiphophorus hellerii Annotation Release 100	2020-02-06	Xiphophorus hellerii
GCF_002775205.1	X_maculatus-5.0-male	NCBI Xiphophorus maculatus Annotation Release 102	2017-12-14	Xiphophorus maculatus
GCA_025769995.1	ASM2576999v1			Xyliphius kryptos
GCF_025860055.1	RBS_HiC_50CHRs	GCF_025860055.1-RS_2023_02	2023-02-25	Xyrauchen texanus
GCA_962446985.1	fXyrNov1.1	Annotation submitted by IMEDEA	2023-08-18	Xyrichtys novacula
GCA_036877545.1	ASM3687754v1			Yasuhikotakia modesta
GCA_038088235.1	ASM3808823v1			Zacco platypus
GCA_029814745.1	ASM2981474v1			Zanclus cornutus
GCA_028564865.1	ASM2856486v1			Zenarchopterus dispar
GCA_960531495.1	fZeuFab8.1			Zeus faber
GCA_023566125.1	ASM2356612v1			Zingel zingel
GCA_040110945.1	Zoavi_1_2	Annotation submitted by University of Trier	2024-06-12	Zoarces viviparus
