Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCF_030867095.1	rAllMis1	GCF_030867095.1-RS_2023_09	2023-09-14	Alligator mississippiensis
GCF_000455745.1	ASM45574v1	NCBI Alligator sinensis Annotation Release 102	2018-05-25	Alligator sinensis
GCA_030014935.1	UST_Ccro_1.0			Caiman crocodilus
GCF_001723895.1	CroPor_comp1	NCBI Crocodylus porosus Annotation Release 100	2016-12-12	Crocodylus porosus
GCA_038503035.1	ASM3850303v1			Crocodylus rhombifer
GCF_001723915.1	GavGan_comp1	NCBI Gavialis gangeticus Annotation Release 100	2016-12-12	Gavialis gangeticus
